,Current Method,,,Base Method,,,Classical Method
Percentile,25%,50%,75%,25%,50%,75%,
Unk 10,14.28,29.03,32.21,31.4,31.9,32.3,32.3
Unk 17,10.6,16.15,25.43,24.7,25.1,25.5,34.7
Unk 23,6.45,11.11,17.66,15.2,15.5,15.9,247
Unk 9,5.41,8.71,13.71,4.41,4.77,5.15,19.3
Unk 3,4.65,8.48,14.14,6.51,6.86,7.21,436
Unk 21,8.92,9.53,10.12,8.99,9.36,9.72,9.62
Unk 5,12.97,13.77,14.59,11.4,11.7,12.1,14.2
Unk 4,12.8,13.75,14.53,13,13.3,13.7,14.3
Unk 2,12.12,12.95,13.72,12.1,12.4,12.8,13.3
Unk 13,6,6.36,6.72,5.08,5.44,5.79,6.22
Unk 8,3.62,3.84,4.09,2.83,3.2,3.58,3.14
Unk 7,2.61,2.79,3.01,1.61,2.02,2.42,1.81
Unk 12,1.79,1.95,2.23,0.65,1.14,1.58,1.87
Unk 14,1.61,1.73,1.88,0.56,1.01,1.47,1.75
Unk 19,1.18,1.29,1.46,0.15,0.5,0.95,1.22
Unk 6,1.05,1.18,1.77,0.2,0.53,1,1.29
Unk 20,1.06,1.14,1.25,0.15,0.47,0.94,1.23
Unk 22,0.82,1.08,2.06,0.08,0.31,0.71,0.87
Unk 18,0.58,0.63,0.69,0.05,0.23,0.57,0.56
Unk 11,0.34,0.38,0.45,0.03,0.16,0.47,0.17
Unk 1,0.26,0.32,0.62,0.03,0.15,0.43,OOR <
Unk 16,0.15,0.3,0.59,0.03,0.13,0.4,OOR <
Unk 15,0.15,0.18,0.22,0.03,0.15,0.43,OOR <
